,price,mark,model,year,mileage,engine_capacity,transmission,drive,hand_drive,fuel
29,310,toyota,progres,2002,109000,2490,at,2wd,rhd,gasoline
30,313,nissan,cube cubic,2007,109244,1500,at,2wd,rhd,gasoline
31,320,nissan,march,2011,65000,1200,at,2wd,rhd,gasoline
32,330,nissan,note,2010,42300,1500,at,2wd,rhd,gasoline
33,330,nissan,note,2010,135000,1500,at,2wd,rhd,gasoline
34,330,nissan,cube,2010,112000,1500,at,2wd,rhd,gasoline
35,336,mercedes-benz,a-class,2006,34175,1700,at,2wd,rhd,gasoline
36,340,nissan,march,2010,127000,1200,at,2wd,rhd,gasoline
37,340,nissan,cube,2010,123000,1500,at,2wd,rhd,gasoline
38,345,toyota,passo,2007,90066,1000,at,2wd,rhd,gasoline
39,350,nissan,note,2010,71000,1500,at,2wd,rhd,gasoline
40,350,mitsubishi,coltplus,2005,23100,1500,at,2wd,rhd,gasoline
41,350,nissan,march,2011,78000,1200,at,2wd,rhd,gasoline
42,350,toyota,passo,2010,134700,1000,at,2wd,rhd,gasoline
43,350,nissan,note,2011,143000,1500,at,2wd,rhd,gasoline
44,350,nissan,march,2011,125000,1200,at,2wd,rhd,gasoline
45,350,nissan,cube,2010,130300,1500,at,2wd,rhd,gasoline
46,350,nissan,note,2006,38000,1500,at,2wd,rhd,gasoline
47,350,nissan,cube,2010,122300,1500,at,2wd,rhd,gasoline
48,350,toyota,passo,2011,78300,1000,at,2wd,rhd,gasoline
49,350,toyota,passo,2010,82000,1000,at,2wd,rhd,gasoline
50,350,suzuki,mr wagon,2006,101800,660,at,2wd,rhd,gasoline
51,350,toyota,passo,2004,83500,1000,at,2wd,rhd,gasoline
52,350,daihatsu,mira,2012,51000,660,at,2wd,rhd,gasoline
53,355,toyota,passo,2009,58377,1000,at,2wd,rhd,gasoline
54,355,mitsubishi,pajero mini,2003,92997,660,mt,2wd,rhd,gasoline
55,370,honda,fit,2008,59484,1290,at,2wd,rhd,gasoline
56,373,subaru,legacy b4,2005,140700,2000,at,4wd,rhd,gasoline
57,375,toyota,vitz,2007,128317,1000,at,2wd,rhd,gasoline
58,375,toyota,vitz,2007,127614,1000,at,2wd,rhd,gasoline
59,378,honda,fit,2008,115131,1290,at,2wd,rhd,gasoline
60,380,honda,inspire,2007,133000,2990,at,2wd,rhd,gasoline
61,380,nissan,note,2010,81000,1500,at,2wd,rhd,gasoline
62,380,toyota,mark ii blit,2006,132000,1980,at,2wd,rhd,gasoline
63,380,nissan,note,2011,125000,1500,at,2wd,rhd,gasoline
64,380,nissan,note,2011,123000,1500,at,2wd,rhd,gasoline
65,381,nissan,note,2010,87000,1500,at,2wd,rhd,gasoline
66,390,honda,insight,2009,153520,1290,at,2wd,rhd,gasoline
67,390,nissan,note,2011,138000,1500,at,2wd,rhd,gasoline
68,390,nissan,note,2011,120000,1500,at,2wd,rhd,gasoline
69,390,toyota,passo,2010,84000,1000,at,2wd,rhd,gasoline
70,390,toyota,passo,2010,108600,1000,at,2wd,rhd,gasoline
71,390,nissan,cube,2011,109100,1500,at,2wd,rhd,gasoline
72,390,nissan,march,2011,83000,1200,at,2wd,rhd,gasoline
73,390,nissan,note,2011,59800,1500,at,2wd,rhd,gasoline
74,390,nissan,note,2011,96300,1500,at,2wd,rhd,gasoline
75,390,toyota,passo,2011,128000,1000,at,2wd,rhd,gasoline
76,390,toyota,passo,2011,69400,1000,at,2wd,rhd,gasoline
77,390,nissan,cube,2011,157700,1500,at,4wd,rhd,gasoline
78,390,nissan,cube,2011,160200,1500,at,2wd,rhd,gasoline
79,390,toyota,passo,2011,112100,1000,at,2wd,rhd,gasoline
80,390,nissan,cube,2011,170800,1500,at,2wd,rhd,gasoline
81,390,nissan,cube,2011,97100,1500,at,2wd,rhd,gasoline
82,390,nissan,cube,2010,139300,1500,at,2wd,rhd,gasoline
83,390,nissan,cube,2011,115000,1500,at,2wd,rhd,gasoline
84,390,nissan,cube,2011,173000,1500,at,2wd,rhd,gasoline
85,390,daihatsu,move,2006,92200,660,at,2wd,rhd,gasoline
86,390,daihatsu,move,2006,95400,660,at,2wd,rhd,gasoline
87,390,nissan,note,2012,104500,1500,at,2wd,rhd,gasoline
88,390,daihatsu,tanto,2012,200500,660,at,2wd,rhd,gasoline
89,390,daihatsu,terios kid,1998,144500,660,at,4wd,rhd,gasoline
90,390,mazda,az-wagon,2012,110600,660,at,2wd,rhd,gasoline
91,390,daihatsu,coo,2012,117700,1500,at,2wd,rhd,gasoline
92,390,nissan,note,2012,215800,1500,at,2wd,rhd,gasoline
93,398,honda,fit,2009,85495,1290,at,2wd,rhd,gasoline
94,399,honda,fit,2009,101620,1300,at,2wd,rhd,gasoline
95,400,nissan,note,2011,29000,1500,at,2wd,rhd,gasoline
96,400,nissan,cube,2010,94000,1500,at,2wd,rhd,gasoline
97,400,nissan,note,2010,54000,1500,at,2wd,rhd,gasoline
98,400,toyota,passo,2010,126000,1000,at,2wd,rhd,gasoline
99,400,nissan,note,2011,128000,1500,at,2wd,rhd,gasoline
100,400,nissan,note,2010,133000,1500,at,2wd,rhd,gasoline
101,400,nissan,note,2011,161600,1500,at,2wd,rhd,gasoline
102,400,daihatsu,tanto,2012,183800,660,at,2wd,rhd,gasoline
103,401,toyota,passo,2009,58544,1000,at,2wd,rhd,gasoline
104,401,toyota,passo,2008,48698,1000,at,2wd,rhd,gasoline
105,420,honda,insight,2010,316334,1290,at,2wd,rhd,gasoline
106,428,nissan,cube cubic,2007,107065,1500,at,2wd,rhd,gasoline
107,429,toyota,passo,2009,38565,1300,at,2wd,rhd,gasoline
108,430,nissan,note,2011,102000,1500,at,2wd,rhd,gasoline
109,430,nissan,march,2011,127000,1200,at,2wd,rhd,gasoline
110,430,honda,fit,2004,119600,1330,at,2wd,rhd,gasoline
111,440,nissan,note,2011,113000,1500,at,2wd,rhd,gasoline
112,440,subaru,impreza,2009,90000,1500,at,2wd,rhd,gasoline
113,442,mitsubishi,pajero mini,1999,53395,660,mt,4wd,rhd,gasoline
114,448,mazda,verisa,2004,40288,1500,at,2wd,rhd,gasoline
115,448,toyota,passo,2007,35435,1000,at,2wd,rhd,gasoline
116,448,toyota,passo,2009,53550,1000,at,2wd,rhd,gasoline
117,448,mitsubishi,pajero mini,1998,36274,660,at,2wd,rhd,gasoline
118,448,toyota,passo,2009,20815,1000,at,2wd,rhd,gasoline
119,448,mitsubishi,pajero mini,2001,97257,660,at,2wd,rhd,gasoline
120,448,toyota,passo,2009,67804,1000,at,2wd,rhd,gasoline
121,448,honda,fit,2007,58816,1300,at,2wd,rhd,gasoline
122,448,suzuki,swift,2008,46078,1200,at,2wd,rhd,gasoline
123,450,nissan,cube,2012,136000,1500,at,2wd,rhd,gasoline
124,450,nissan,note,2011,77000,1500,at,2wd,rhd,gasoline
125,450,nissan,cube,2011,109000,1500,at,2wd,rhd,gasoline
126,450,toyota,passo,2011,47000,1000,at,2wd,rhd,gasoline
127,450,nissan,note,2011,67000,1500,at,2wd,rhd,gasoline
128,450,nissan,note,2010,98000,1500,at,2wd,rhd,gasoline
129,450,nissan,march,2011,67000,1200,at,2wd,rhd,gasoline
130,450,nissan,note,2010,57000,1500,at,2wd,rhd,gasoline
131,450,nissan,note,2011,118000,1500,at,2wd,rhd,gasoline
132,450,nissan,note,2012,51700,1500,at,2wd,rhd,gasoline
133,450,nissan,march,2011,101000,1200,at,2wd,rhd,gasoline
134,450,daihatsu,move,2006,92100,660,at,4wd,rhd,gasoline
135,450,mitsubishi,delica d2,2012,163500,1200,at,2wd,rhd,gasoline
136,450,mitsubishi,pajero mini,2000,116000,660,at,4wd,rhd,gasoline
137,450,nissan,tiida,2010,108000,1500,at,2wd,rhd,gasoline
138,457,toyota,sienta,2004,94806,1500,at,2wd,rhd,gasoline
139,460,nissan,note,2011,77000,1500,at,2wd,rhd,gasoline
140,465,bmw,mini,2002,95500,1600,mt,2wd,rhd,gasoline
141,467,mitsubishi,colt,2009,61860,1330,at,2wd,rhd,gasoline
142,467,toyota,platz,2000,34160,1500,at,2wd,rhd,gasoline
143,471,nissan,bluebird sylphy,2007,51304,2000,at,2wd,rhd,gasoline
144,476,mazda,verisa,2006,58402,1500,at,2wd,rhd,gasoline
145,480,nissan,note,2010,128000,1500,at,2wd,rhd,gasoline
146,480,toyota,passo,2011,104000,1000,at,2wd,rhd,gasoline
147,480,nissan,march,2006,77066,1300,mt,2wd,rhd,gasoline
148,485,mitsubishi,eclipse,2002,73641,2970,at,2wd,lhd,gasoline
149,489,honda,insight,2009,133541,1290,at,2wd,rhd,gasoline
150,489,honda,fit,2009,103465,1290,at,2wd,rhd,gasoline
151,489,nissan,march,2011,48000,1200,at,2wd,rhd,gasoline
152,490,toyota,passo,2011,115200,1000,at,2wd,rhd,gasoline
153,490,nissan,cube,2010,137000,1500,at,2wd,rhd,gasoline
154,490,toyota,passo,2011,93600,1000,at,2wd,rhd,gasoline
155,490,nissan,march,2011,103000,1200,at,2wd,rhd,gasoline
156,490,nissan,march,2011,77000,1200,at,2wd,rhd,gasoline
157,490,nissan,march,2006,68000,1200,at,2wd,rhd,gasoline
158,490,toyota,passo,2010,96000,1000,at,2wd,rhd,gasoline
159,490,nissan,cube,2011,135000,1500,at,2wd,rhd,gasoline
160,490,nissan,march,2011,71000,1200,at,2wd,rhd,gasoline
161,490,toyota,passo,2011,188600,1000,at,2wd,rhd,gasoline
162,490,nissan,tiida,2010,98000,1500,at,4wd,rhd,gasoline
163,490,toyota,passo,2010,91000,1000,at,2wd,rhd,gasoline
164,490,nissan,cube,2010,115000,1500,at,2wd,rhd,gasoline
165,490,nissan,note,2007,19000,1500,at,2wd,rhd,gasoline
166,490,toyota,vitz,2007,82000,1000,at,2wd,rhd,gasoline
167,490,toyota,bb,2010,119000,1500,at,2wd,rhd,gasoline
168,490,nissan,note,2012,178400,1500,at,2wd,rhd,gasoline
169,490,nissan,cube,2012,126300,1500,at,2wd,rhd,gasoline
170,490,honda,step wgn,2006,169400,2000,at,2wd,rhd,gasoline
171,490,nissan,moco,2013,199000,660,at,2wd,rhd,gasoline
172,490,nissan,tiida,2010,98000,1500,at,2wd,rhd,gasoline
173,490,nissan,clipper truck,2012,219300,660,mt,4wd,rhd,gasoline
174,490,daihatsu,esse,2008,120600,660,at,2wd,rhd,gasoline
175,490,nissan,cube,2008,78700,1400,at,2wd,rhd,gasoline
176,490,toyota,bb,2009,128300,1500,at,2wd,rhd,gasoline
177,490,mitsubishi,ek wagon,2012,117000,660,at,2wd,rhd,gasoline
178,495,suzuki,swift,2006,67974,1300,at,2wd,rhd,gasoline
179,495,suzuki,swift,2008,62752,1200,at,2wd,rhd,gasoline
180,495,volkswagen,polo,2009,22668,1400,at,2wd,rhd,gasoline
181,498,nissan,x-trail,2005,115934,1990,at,2wd,rhd,gasoline
182,500,nissan,cube,2011,37000,1500,at,2wd,rhd,gasoline
183,500,nissan,cube,2011,94000,1500,at,2wd,rhd,gasoline
184,500,nissan,note,2010,42000,1500,at,2wd,rhd,gasoline
185,500,nissan,note,2010,121000,1500,at,2wd,rhd,gasoline
186,500,toyota,passo,2011,104000,1000,at,2wd,rhd,gasoline
187,500,nissan,march,2011,76000,1200,at,2wd,rhd,gasoline
188,500,mitsubishi,pajero mini,2003,146000,660,at,4wd,rhd,gasoline
189,500,nissan,note,2010,154000,1500,at,2wd,rhd,gasoline
190,500,mazda,atenza sport,2007,241000,1500,at,2wd,rhd,gasoline
191,500,nissan,note,2008,81000,1500,at,2wd,rhd,gasoline
192,500,nissan,ad van,2013,210000,1500,at,2wd,rhd,gasoline
193,500,mitsubishi,delica d2,2012,142200,1200,at,2wd,rhd,gasoline
194,500,toyota,pixis space,2012,142100,660,at,2wd,rhd,gasoline
195,500,honda,freed spike,2012,192200,1500,at,2wd,rhd,gasoline
196,500,honda,stream,2009,82500,1800,at,2wd,rhd,gasoline
197,500,suzuki,alto,2004,70000,660,at,2wd,rhd,gasoline
200,520,honda,fit,2007,121134,1290,at,4wd,rhd,gasoline
201,526,toyota,passo,2010,37195,1000,at,2wd,rhd,gasoline
202,530,toyota,raum,2003,60000,1500,at,4wd,rhd,gasoline
203,530,nissan,note,2012,121000,1500,at,2wd,rhd,gasoline
204,530,nissan,cube,2012,125000,1500,at,2wd,rhd,gasoline
205,530,toyota,passo,2011,108000,1000,at,2wd,rhd,gasoline
206,530,nissan,cube,2010,66000,1500,at,2wd,rhd,gasoline
207,540,nissan,note,2007,84000,1500,at,2wd,rhd,gasoline
208,540,nissan,cube,2013,138000,1500,at,2wd,rhd,gasoline
209,540,toyota,passo,2011,114000,1000,at,2wd,rhd,gasoline
210,540,nissan,note,2007,32000,1500,at,2wd,rhd,gasoline
211,541,toyota,sienta,2005,47190,1500,at,2wd,rhd,gasoline
212,541,mazda,verisa,2005,57907,1500,at,2wd,rhd,gasoline
213,541,toyota,passo,2009,65851,1000,at,2wd,rhd,gasoline
214,541,honda,fit,2007,32899,1300,at,2wd,rhd,gasoline
215,541,honda,fit,2007,69280,1500,at,2wd,rhd,gasoline
216,541,toyota,vitz,2007,62538,1000,at,2wd,rhd,gasoline
217,541,toyota,passo,2010,48630,1000,at,2wd,rhd,gasoline
218,550,toyota,wish,2005,100300,2000,at,2wd,rhd,gasoline
219,550,nissan,cube,2012,92000,1500,at,2wd,rhd,gasoline
220,550,nissan,note,2011,44400,1500,at,2wd,rhd,gasoline
221,550,nissan,tiida,2010,109000,1500,at,2wd,rhd,gasoline
222,550,nissan,note,2011,56000,1500,at,2wd,rhd,gasoline
223,550,toyota,bb,2011,130000,1500,at,2wd,rhd,gasoline
224,550,nissan,march,2011,32000,1200,at,2wd,rhd,gasoline
225,550,nissan,note,2011,119000,1500,at,2wd,rhd,gasoline
226,550,toyota,passo,2011,119000,1000,at,2wd,rhd,gasoline
227,550,toyota,passo,2011,81000,1000,at,2wd,rhd,gasoline
228,550,toyota,passo,2010,70000,1000,at,2wd,rhd,gasoline
229,550,toyota,passo,2011,90000,1000,at,2wd,rhd,gasoline
230,550,toyota,passo,2011,78000,1000,at,2wd,rhd,gasoline
231,550,nissan,note,2010,105000,1500,at,2wd,rhd,gasoline
232,550,nissan,march,2011,116000,1200,at,2wd,rhd,gasoline
233,550,toyota,passo,2011,115000,1000,at,2wd,rhd,gasoline
234,550,toyota,passo,2010,117000,1300,at,2wd,rhd,gasoline
235,550,toyota,passo,2011,100000,1000,at,2wd,rhd,gasoline
236,550,suzuki,every,2011,148000,660,at,2wd,rhd,gasoline
237,550,toyota,passo,2011,101000,1000,at,2wd,rhd,gasoline
238,550,toyota,passo,2011,117000,1000,at,2wd,rhd,gasoline
239,550,toyota,passo,2011,143000,1000,at,2wd,rhd,gasoline
240,550,toyota,passo,2011,53000,1000,at,2wd,rhd,gasoline
241,550,toyota,passo,2010,64000,1000,at,2wd,rhd,gasoline
242,550,mazda,demio,2005,115000,1300,at,2wd,rhd,gasoline
243,550,nissan,note,2012,57000,1500,at,2wd,rhd,gasoline
244,550,nissan,cube,2013,126000,1500,at,2wd,rhd,gasoline
245,550,toyota,vitz,2005,149954,1290,at,2wd,rhd,gasoline
246,550,toyota,passo,2012,144800,1000,at,2wd,rhd,gasoline
247,550,suzuki,jimny,1998,240500,660,at,4wd,rhd,gasoline
248,550,mazda,premacy,2012,200800,2000,at,2wd,rhd,gasoline
249,550,toyota,vitz,2010,153400,1000,at,2wd,rhd,gasoline
250,550,nissan,x-trail,2002,152700,2000,at,4wd,rhd,gasoline
251,550,honda,cr-v,1999,183000,2000,at,4wd,rhd,gasoline
252,550,suzuki,lapin,2006,119300,650,at,2wd,rhd,gasoline
253,551,mitsubishi,delica,1982,58099,1430,mt,2wd,rhd,gasoline
254,560,suzuki,wagon r,2003,90265,650,at,2wd,rhd,gasoline
255,560,honda,fit,2004,74200,1300,at,2wd,rhd,gasoline
256,560,volkswagen,passat,2002,69900,2320,at,2wd,rhd,gasoline
257,560,toyota,wish,2003,87764,1790,at,4wd,rhd,gasoline
258,560,honda,fit,2003,83900,1300,at,2wd,rhd,gasoline
259,569,honda,fit,2005,116000,1300,at,2wd,rhd,gasoline
260,570,mazda,verisa,2009,80961,1490,at,2wd,rhd,gasoline
261,570,honda,fit,2011,169240,1290,at,2wd,rhd,gasoline
262,570,mitsubishi,colt,2009,74000,1330,at,2wd,rhd,gasoline
263,570,mitsubishi,lancer,2008,99000,1460,at,4wd,rhd,gasoline
264,570,daihatsu,naked,2001,90000,650,at,2wd,rhd,gasoline
265,570,honda,fit,2004,138000,1330,at,2wd,rhd,gasoline
266,570,suzuki,swift,2003,119000,1320,at,2wd,rhd,gasoline
267,570,toyota,vitz,2008,68335,1000,at,2wd,rhd,gasoline
268,578,honda,odyssey,2011,146031,2400,at,2wd,rhd,gasoline
269,579,honda,fit,2006,36000,1300,at,2wd,rhd,gasoline
270,579,nissan,note,2007,105101,1500,at,2wd,rhd,gasoline
271,580,honda,insight,2009,156755,1290,at,2wd,rhd,gasoline
272,580,honda,fit,2011,288835,1290,at,2wd,rhd,gasoline
273,580,toyota,sienta,2005,71986,1500,at,2wd,rhd,gasoline
274,580,toyota,ractis,2009,95306,1300,at,2wd,rhd,gasoline
275,580,nissan,note,2011,43600,1500,at,2wd,rhd,gasoline
276,580,toyota,passo,2010,134000,1000,at,2wd,rhd,gasoline
277,580,mazda,demio,2003,69000,1300,at,2wd,rhd,gasoline
278,580,mitsubishi,ek wagon,2010,91000,660,at,4wd,rhd,gasoline
279,580,toyota,ractis,2006,107500,1300,at,2wd,rhd,gasoline
280,587,toyota,porte,2011,68251,1300,at,2wd,rhd,gasoline
281,588,mazda,verisa,2005,77720,1500,at,2wd,rhd,gasoline
282,588,toyota,ractis,2006,45724,1300,at,2wd,rhd,gasoline
283,588,toyota,vitz,2009,59480,1000,at,2wd,rhd,gasoline
284,588,toyota,avensis,2005,88659,2000,at,2wd,rhd,gasoline
285,588,mazda,demio,2008,103000,1300,at,2wd,rhd,gasoline
286,588,toyota,corolla rumion,2007,121351,1500,at,2wd,rhd,gasoline
287,588,toyota,corolla rumion,2009,112598,1500,at,2wd,rhd,gasoline
288,590,honda,fit,2009,79797,1290,at,2wd,rhd,gasoline
289,590,honda,insight,2009,99902,1290,at,2wd,rhd,gasoline
290,590,honda,fit,2011,85000,1300,at,2wd,rhd,gasoline
291,590,nissan,tiida,2010,81000,1500,at,2wd,rhd,gasoline
292,590,nissan,cube,2010,126000,1500,at,2wd,rhd,gasoline
293,590,honda,step wgn,2006,112100,2400,at,2wd,rhd,gasoline
294,590,nissan,tiida latio,2012,160200,1500,at,2wd,rhd,gasoline
295,590,toyota,vitz,2005,104700,1000,cvt,2wd,rhd,gasoline
296,599,honda,insight,2009,151348,1290,at,2wd,rhd,gasoline
297,599,honda,fit,2011,178408,1490,at,4wd,rhd,gasoline
298,599,daihatsu,esse,2011,105529,660,at,2wd,rhd,gasoline
299,599,toyota,voxy,2002,98367,2000,at,2wd,rhd,gasoline
300,599,mazda,demio,2004,141014,1300,at,2wd,rhd,gasoline
301,599,nissan,march,2006,102824,1200,at,2wd,rhd,gasoline
302,600,honda,fit,2009,66000,1300,at,2wd,rhd,gasoline
303,600,toyota,ractis,2006,158000,1300,at,2wd,rhd,gasoline
304,600,toyota,vitz,2007,180000,1000,at,2wd,rhd,gasoline
305,600,mazda,demio,2003,90000,1300,at,2wd,rhd,gasoline
306,600,mazda,premacy,2010,83000,2000,at,2wd,rhd,gasoline
307,600,toyota,passo,2005,54235,1000,at,2wd,rhd,gasoline
308,600,toyota,voxy,2007,158600,2000,at,2wd,rhd,gasoline
309,600,honda,fit,2003,59000,1300,at,2wd,rhd,gasoline
310,600,nissan,moco,2013,149900,660,at,2wd,rhd,gasoline
311,600,toyota,passo,2009,111700,1000,at,2wd,rhd,gasoline
312,606,mazda,carol,2004,59000,650,at,2wd,rhd,gasoline
313,607,subaru,legacy b4,2003,143700,2000,at,4wd,rhd,gasoline
314,607,nissan,sunny,2001,88000,1500,at,2wd,rhd,gasoline
315,607,toyota,passo,2007,38282,1000,at,2wd,rhd,gasoline
316,607,mazda,bongo truck,1994,160000,1490,mt,2wd,rhd,gasoline
317,610,honda,fit,2002,49000,1330,at,2wd,rhd,gasoline
318,610,toyota,bb,2007,101000,1290,at,4wd,rhd,gasoline
319,610,mazda,demio,2005,88000,1300,at,2wd,rhd,gasoline
320,616,honda,fit,2005,108200,1300,at,2wd,rhd,gasoline
321,620,nissan,note,2008,86000,1500,at,2wd,rhd,gasoline
322,620,mazda,demio,2010,111132,1300,at,2wd,rhd,gasoline
323,623,toyota,ractis,2005,20952,1300,at,2wd,rhd,gasoline
324,625,mazda,demio,2003,58385,1300,at,2wd,rhd,gasoline
325,625,mitsubishi,colt,2004,135369,1300,at,2wd,rhd,gasoline
326,625,toyota,porte,2007,90821,1300,at,2wd,rhd,gasoline
327,625,toyota,passo,2009,148818,1300,at,2wd,rhd,gasoline
328,625,nissan,march,2003,70259,1200,at,2wd,rhd,gasoline
329,625,daihatsu,boon,2005,86154,1300,at,2wd,rhd,gasoline
330,625,nissan,march,2002,71861,1200,at,2wd,rhd,gasoline
331,625,honda,s-mx,1997,240961,2000,at,2wd,rhd,gasoline
332,625,nissan,cube,2009,175065,1500,at,2wd,rhd,gasoline
333,625,honda,step wgn,2005,156347,2000,at,2wd,rhd,gasoline
334,625,mitsubishi,colt,2011,75528,1300,at,2wd,rhd,gasoline
335,625,nissan,march,2003,68654,1240,at,2wd,rhd,gasoline
336,625,chrysler,pt cruiser,2001,84174,2000,at,2wd,rhd,gasoline
337,625,mitsubishi,colt,2009,87154,1300,at,2wd,rhd,gasoline
338,625,nissan,march,2010,93741,1400,at,4wd,rhd,gasoline
339,625,nissan,cube,2002,70875,1380,at,2wd,rhd,gasoline
340,626,toyota,porte,2008,46800,1500,at,2wd,rhd,gasoline
341,630,honda,fit,2010,92994,1290,at,2wd,rhd,gasoline
342,630,toyota,passo,2005,47000,1000,at,2wd,rhd,gasoline
343,630,honda,fit,2010,82000,1300,at,2wd,rhd,gasoline
344,635,toyota,vitz,2007,71217,1000,at,2wd,rhd,gasoline
345,635,mazda,demio,2009,46454,1300,at,2wd,rhd,gasoline
346,635,suzuki,swift,2010,87800,1200,at,2wd,rhd,gasoline
347,635,volkswagen,golf,2007,58263,1600,at,2wd,rhd,gasoline
348,635,toyota,passo,2009,22749,1300,at,2wd,rhd,gasoline
349,635,honda,fit,2009,62291,1300,at,2wd,rhd,gasoline
350,635,toyota,raum,2009,63101,1500,at,2wd,rhd,gasoline
351,635,suzuki,swift,2009,38407,1200,at,2wd,rhd,gasoline
352,635,toyota,wish,2003,54358,1800,at,2wd,rhd,gasoline
353,635,volkswagen,golf,2007,34782,1600,at,2wd,rhd,gasoline
354,635,toyota,passo,2005,16890,1000,at,2wd,rhd,gasoline
355,635,nissan,ad expert,2007,225216,1800,at,2wd,rhd,gasoline
356,635,nissan,cube,2003,83848,1400,at,2wd,rhd,gasoline
357,639,nissan,march,2004,117176,1400,at,4wd,rhd,gasoline
358,640,honda,insight,2009,107914,1290,at,2wd,rhd,gasoline
359,643,toyota,vitz,2005,53427,1300,at,2wd,rhd,gasoline
360,649,toyota,ractis,2008,62756,1300,at,2wd,rhd,gasoline
361,650,honda,insight,2009,112764,1290,at,2wd,rhd,gasoline
362,650,honda,fit hybrid,2011,239644,1290,at,2wd,rhd,gasoline
363,650,honda,fit,2011,279232,1290,at,2wd,rhd,gasoline
364,650,honda,fit,2010,102400,1300,at,2wd,rhd,gasoline
365,650,honda,fit,2007,69000,1300,at,2wd,rhd,gasoline
366,650,nissan,note,2011,80900,1500,at,2wd,rhd,gasoline
367,650,honda,fit,2010,166224,1300,at,2wd,rhd,gasoline
368,650,nissan,tiida,2011,106000,1500,at,2wd,rhd,gasoline
369,650,toyota,vitz,2006,92250,1300,at,2wd,rhd,gasoline
370,650,suzuki,swift,2007,104500,1200,at,2wd,rhd,gasoline
371,650,toyota,passo,2011,40000,1000,at,2wd,rhd,gasoline
372,650,mazda,demio,2003,47000,1500,at,2wd,rhd,gasoline
373,650,mitsubishi,colt,2011,45600,1300,at,2wd,rhd,gasoline
374,650,toyota,ractis,2009,184100,1500,at,2wd,rhd,gasoline
375,650,mazda,demio,2003,46000,1300,at,2wd,rhd,gasoline
376,650,mazda,demio,2003,99000,1300,at,2wd,rhd,gasoline
377,650,nissan,serena,2009,159800,2000,at,2wd,rhd,gasoline
378,650,toyota,passo,2007,36500,1000,at,2wd,rhd,gasoline
379,650,honda,edix,2005,124252,1700,at,2wd,rhd,gasoline
380,650,nissan,tiida,2011,145400,1500,at,2wd,rhd,gasoline
381,650,nissan,moco,2013,139500,660,at,2wd,rhd,gasoline
382,650,suzuki,wagon r,2004,80100,660,at,2wd,rhd,gasoline
383,650,daihatsu,move custom,2004,64700,660,at,2wd,rhd,gasoline
384,650,mazda,premacy,2012,175500,2000,at,2wd,rhd,gasoline
385,650,subaru,impreza anesis,2009,133000,1500,at,2wd,rhd,gasoline
386,650,honda,step wgn,2005,109534,1990,at,2wd,rhd,gasoline
387,653,toyota,passo,2007,73000,1000,at,2wd,rhd,gasoline
388,653,toyota,voxy,2005,137084,1990,at,2wd,rhd,gasoline
389,653,nissan,tiida,2004,73041,1500,at,2wd,rhd,gasoline
390,653,mazda,premacy,2007,55101,2000,at,2wd,rhd,gasoline
391,653,nissan,note,2008,99000,1500,at,2wd,rhd,gasoline
392,653,honda,edix,2004,71000,1700,at,2wd,rhd,gasoline
393,653,toyota,ractis,2006,89000,1300,at,2wd,rhd,gasoline
394,653,toyota,ractis,2006,91000,1300,at,2wd,rhd,gasoline
395,653,toyota,estima,2003,70250,2400,at,2wd,rhd,gasoline
396,653,honda,stream,2005,100400,2000,at,2wd,rhd,gasoline
